モデル名,データ数,Positive,Negative,Neutral,Positive(%),Negative(%),Neutral(%),Positive Polarity Value,Nagative Polarity Value,情報解禁日,発売日,事前期待日数,事前期待データ数,Positive_csex,Negative_csex,Neutral_csex,,statistic,p-value,,statistic,p-value
iPhone,8113,4832,1276,2005,59.60%,15.70%,24.70%,0.31,-0.21,9-Jan-07,29-Jun-07,171,1590,62.20%,15.00%,22.80%,,2609.21 ,0.00 ,,7288.05 ,0.00 
iPhone3G,11271,6495,1862,2914,57.60%,18.70%,23.70%,0.29,-0.2,9-Jun-08,11-Jul-08,32,1454,55.30%,18.50%,26.20%,,3140.36 ,0.00 ,,9164.63 ,0.00 
iPhone3GS,13133,7562,2453,3118,57.60%,16.50%,25.90%,0.3,-0.21,9-Jun-09,19-Jun-09,10,780,58.30%,20.80%,20.90%,,3524.96 ,0.00 ,,10866.99 ,0.00 
iPhone4,20190,12684,3592,3914,62.80%,17.80%,19.40%,0.31,-0.2,7-Jun-10,24-Jun-10,17,2544,63.50%,19.00%,17.50%,,7908.92 ,0.00 ,,21767.73 ,0.00 
iPhone4S,12098,6223,1644,4231,51.40%,13.60%,35.00%,0.34,-0.21,4-Oct-11,14-Oct-11,10,972,58.80%,16.50%,25.10%,,2614.31 ,0.00 ,,6655.61 ,0.00 
iPhone5,13642,8117,2346,3179,59.50%,17.20%,23.30%,0.32,-0.21,12-Sep-12,21-Sep-12,9,3317,57.00%,20.70%,22.30%,,4279.59 ,0.00 ,,12353.57 ,0.00 
iPhone5c,1867,1042,270,555,55.80%,14.50%,29.70%,0.36,-0.22,10-Sep-13,20-Sep-13,10,375,53.10%,18.60%,28.30%,,489.76 ,4.47 ,,8618.88 ,0.00 
iPhone5s,9645,5749,1384,2512,59.60%,14.30%,26.00%,0.34,-0.2,10-Sep-13,20-Sep-13,10,1514,58.30%,20.10%,21.50%,,3193.76 ,0.00 ,,1351.56 ,3.26 
iPhone6,9987,5582,1725,2680,55.90%,17.30%,26.80%,0.31,-0.22,9-Sep-14,19-Sep-14,10,1614,53.40%,21.00%,25.60%,,2424.16 ,0.00 ,,7399.20 ,0.00 
iPhone6Plus,3510,1980,568,962,56.40%,16.20%,27.40%,0.34,-0.22,9-Sep-14,19-Sep-14,10,1032,57.30%,17.70%,25.00%,,907.49 ,8.71 ,,2656.80 ,0.00 
iPhone6s,4689,2704,628,1357,57.70%,13.40%,28.90%,0.33,-0.22,9-Sep-15,25-Sep-15,16,747,56.20%,15.00%,28.80%,,1419.41 ,6.00 ,,3758.87 ,0.00 
iPhone6sPlus,1917,1180,245,492,61.60%,12.80%,25.70%,0.37,-0.22,9-Sep-15,25-Sep-15,16,286,55.60%,17.50%,26.90%,,734.78 ,2.78 ,,1882.72 ,0.00 
iPhoneSE,3942,2230,487,1225,56.60%,12.40%,31.10%,0.32,-0.21,21-Mar-16,31-Mar-16,10,847,52.80%,16.20%,31.10%,,1165.07 ,1.02 ,,2966.07 ,0.00 
iPhone7,3959,2075,642,1242,52.40%,16.20%,31.40%,0.3,-0.21,7-Sep-16,25-Sep-16,18,1084,52.10%,18.10%,29.80%,,784.89 ,3.66 ,,2345.46 ,0.00 
iPhone7Plus,2424,1262,353,809,52.10%,14.60%,33.40%,0.34,-0.21,7-Sep-16,25-Sep-16,18,732,48.50%,18.20%,33.30%,,511.31 ,9.32 ,,1392.08 ,5.16 
iPhone8,897,506,158,233,56.40%,17.60%,26.00%,0.28,-0.23,12-Sep-17,22-Sep-17,10,198,54.50%,20.70%,24.70%,,506.15 ,1.23 ,,687.06 ,6.41 
iPhone8Plus,655,337,106,212,51.50%,16.20%,32.40%,0.29,-0.23,12-Sep-17,22-Sep-17,10,142,45.80%,21.80%,32.40%,,122.48 ,2.54 ,,364.04 ,8.90 
iPhoneX,2310,1273,447,590,55.10%,19.40%,25.50%,0.28,-0.22,12-Sep-17,3-Nov-17,52,1280,53.40%,20.50%,26.20%,,506.15 ,1.23 ,,1670.31 ,0.00 
,,,,,,,,,,,,,,,,,,35258.78 ,0.00 ,,101884.52 ,0.00 
