Name,Inch,Screen Size,Resolution,Anounce Date,Release Date,#_of_data,Positive,Negative,Neutral,#_of_csex_data,Positive_csex,Negative_csex,Neutral_csex
iPhone,3.5,320x480,320x480,9-Jan-07,29-Jun-07,8113,59.6%,15.7%,24.7%,1590 ,62.2%,15.0%,22.8%
iPhone3G,3.5,320x480,320x480,9-Jun-08,11-Jul-08,13133,57.6%,18.7%,23.7%,1454 ,55.3%,18.5%,26.2%
iPhone3GS,3.5,320x480,320x480,9-Jun-09,19-Jun-09,11271,57.6%,16.5%,25.9%,780 ,58.3%,20.8%,20.9%
iPhone4,3.5,320x480,640x960,7-Jun-10,24-Jun-10,20190,62.8%,17.8%,19.4%,2544 ,63.5%,19.0%,17.5%
iPhone4S,3.5,320x480,640x960,4-Oct-11,14-Oct-11,12098,51.4%,13.6%,35.0%,972 ,58.8%,16.5%,25.1%
iPhone5,4,320x568,640x1136,12-Sep-12,21-Sep-12,13642,59.5%,17.2%,23.3%,3317 ,57.0%,20.7%,22.3%
iPhone5c,4,320x568,640x1136,10-Sep-13,20-Sep-13,1867,55.8%,14.5%,29.7%,375 ,53.1%,18.6%,28.3%
iPhone5s,4,320x568,640x1136,10-Sep-13,20-Sep-13,9645,59.6%,14.3%,26.0%,1514 ,58.3%,20.1%,21.5%
iPhone6,4.7,375x667,750x1334,9-Sep-14,19-Sep-14,9987,55.9%,17.3%,26.8%,1614 ,53.4%,21.0%,25.6%
iPhone6Plus,5.5,414x736,1080x1920,9-Sep-14,19-Sep-14,3510,56.4%,16.2%,27.4%,1032 ,57.3%,17.7%,25.0%
iPhone6s,4.7,375x667,750x1334,9-Sep-15,25-Sep-15,4689,57.7%,13.4%,28.9%,747 ,56.2%,15.0%,28.8%
iPhone6sPlus,5.5,414x736,1242x2208,9-Sep-15,25-Sep-15,1917,61.6%,12.8%,25.7%,286 ,55.6%,17.5%,26.9%
iPhoneSE,4,320x568,640x1136,21-Mar-16,31-Mar-16,3942,56.6%,12.4%,31.1%,847 ,52.8%,16.2%,31.1%
iPhone7,4.7,375x667,750x1334,7-Sep-16,25-Sep-16,3959,52.4%,16.2%,31.4%,1084 ,52.1%,18.1%,29.8%
iPhone7Plus,5.5,414x736,1242x2208,7-Sep-16,25-Sep-16,2424,52.1%,14.6%,33.4%,732 ,48.5%,18.2%,33.3%
iPhone8,4.7,375x667,750x1334,12-Sep-17,22-Sep-17,897,56.4%,17.6%,26.0%,198 ,54.5%,20.7%,24.7%
iPhone8Plus,5.5,414x736,1242x2208,12-Sep-17,22-Sep-17,655,51.5%,16.2%,32.4%,142 ,45.8%,21.8%,32.4%
iPhoneX,5.8,375x812,1125x2436,12-Sep-17,3-Nov-17,2310,55.1%,19.4%,25.5%,1280 ,53.4%,20.5%,26.2%
