,t,positive,negative,neutral,total,positive(%),negative(%),neutral(%)
0,1,5432 ,1853 ,2335 ,9620 ,56.47 ,19.26 ,24.27 
1,2,2148 ,630 ,960 ,3738 ,57.46 ,16.85 ,25.68 
2,3,3537 ,1167 ,1476 ,6180 ,57.23 ,18.88 ,23.88 
3,4,2934 ,879 ,1054 ,4867 ,60.28 ,18.06 ,21.66 
4,5,2763 ,834 ,880 ,4477 ,61.72 ,18.63 ,19.66 
5,6,2328 ,703 ,745 ,3776 ,61.65 ,18.62 ,19.73 
6,7,2166 ,624 ,701 ,3491 ,62.05 ,17.87 ,20.08 
7,8,2607 ,852 ,965 ,4424 ,58.93 ,19.26 ,21.81 
8,9,2812 ,809 ,1025 ,4646 ,60.53 ,17.41 ,22.06 
9,10,2926 ,883 ,1175 ,4984 ,58.71 ,17.72 ,23.58 
10,11,2500 ,747 ,935 ,4182 ,59.78 ,17.86 ,22.36 
11,12,2018 ,633 ,772 ,3423 ,58.95 ,18.49 ,22.55 
12,13,1949 ,566 ,702 ,3217 ,60.58 ,17.59 ,21.82 
13,14,1833 ,452 ,556 ,2841 ,64.52 ,15.91 ,19.57 
14,15,1600 ,423 ,614 ,2637 ,60.68 ,16.04 ,23.28 
15,16,1741 ,461 ,656 ,2858 ,60.92 ,16.13 ,22.95 
16,17,1527 ,400 ,600 ,2527 ,60.43 ,15.83 ,23.74 
17,18,1343 ,367 ,629 ,2339 ,57.42 ,15.69 ,26.89 
18,19,1500 ,410 ,579 ,2489 ,60.27 ,16.47 ,23.26 
19,20,1411 ,383 ,598 ,2392 ,58.99 ,16.01 ,25.00 
20,21,1563 ,399 ,632 ,2594 ,60.25 ,15.38 ,24.36 
21,22,1485 ,408 ,654 ,2547 ,58.30 ,16.02 ,25.68 
22,23,1360 ,365 ,584 ,2309 ,58.90 ,15.81 ,25.29 
23,24,1267 ,351 ,559 ,2177 ,58.20 ,16.12 ,25.68 
24,25,1146 ,357 ,480 ,1983 ,57.79 ,18.00 ,24.21 
25,26,1063 ,244 ,472 ,1779 ,59.75 ,13.72 ,26.53 
26,27,890 ,234 ,419 ,1543 ,57.68 ,15.17 ,27.15 
27,28,935 ,222 ,350 ,1507 ,62.04 ,14.73 ,23.22 
28,29,827 ,186 ,335 ,1348 ,61.35 ,13.80 ,24.85 
29,30,774 ,158 ,351 ,1283 ,60.33 ,12.31 ,27.36 
30,31,659 ,150 ,264 ,1073 ,61.42 ,13.98 ,24.60 
31,32,614 ,168 ,295 ,1077 ,57.01 ,15.60 ,27.39 
32,33,729 ,169 ,308 ,1206 ,60.45 ,14.01 ,25.54 
33,34,669 ,198 ,319 ,1186 ,56.41 ,16.69 ,26.90 
34,35,564 ,136 ,276 ,976 ,57.79 ,13.93 ,28.28 
35,36,585 ,145 ,255 ,985 ,59.39 ,14.72 ,25.89 
36,37,542 ,141 ,284 ,967 ,56.05 ,14.58 ,29.37 
37,38,515 ,117 ,281 ,913 ,56.41 ,12.81 ,30.78 
38,39,374 ,85 ,207 ,666 ,56.16 ,12.76 ,31.08 
39,40,361 ,100 ,183 ,644 ,56.06 ,15.53 ,28.42 
40,41,305 ,69 ,184 ,558 ,54.66 ,12.37 ,32.97 
41,42,326 ,59 ,156 ,541 ,60.26 ,10.91 ,28.84 
42,43,260 ,62 ,164 ,486 ,53.50 ,12.76 ,33.74 
43,44,242 ,75 ,163 ,480 ,50.42 ,15.63 ,33.96 
44,45,277 ,61 ,184 ,522 ,53.07 ,11.69 ,35.25 
45,46,269 ,67 ,145 ,481 ,55.93 ,13.93 ,30.15 
46,47,227 ,70 ,145 ,442 ,51.36 ,15.84 ,32.81 
47,48,218 ,56 ,122 ,396 ,55.05 ,14.14 ,30.81 
48,49,230 ,42 ,157 ,429 ,53.61 ,9.79 ,36.60 
49,50,227 ,46 ,121 ,394 ,57.61 ,11.68 ,30.71 
